                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7346,                 2.1107,                 1.5959,                0.11917,                0.37024,                0.12901,                0.05466,                 1.7891,                 24.429,                 2.3235,             0.00055011,             0.00055011,             0.00055011
                      1,                 1.8304,                  1.948,                 1.6672,                0.13368,                0.38393,                 0.0928,                0.03916,                  2.021,                 5.7926,                 2.1155,              0.0010985,              0.0010985,              0.0010985
                      2,                 1.8954,                 2.0549,                 1.7069,                0.17627,                0.31012,                0.13768,                0.05672,                 1.9723,                 6.7558,                 2.0841,              0.0016395,              0.0016395,              0.0016395
                      3,                 1.8543,                 2.0144,                 1.6989,                0.38019,                0.38095,                 0.2404,                0.10954,                 2.0496,                 2.8668,                 2.1077,               0.001634,               0.001634,               0.001634
                      4,                 1.8234,                 1.8232,                 1.6571,                0.47774,                0.49821,                0.44433,                0.20598,                 1.8482,                 1.7974,                 1.8965,               0.001634,               0.001634,               0.001634
                      5,                 1.7598,                 1.7633,                 1.6197,                 0.6286,                0.58848,                0.58441,                0.32082,                 1.6228,                 1.5773,                 1.7445,               0.001623,               0.001623,               0.001623
                      6,                 1.6838,                 1.6306,                 1.5617,                0.78033,                0.55465,                0.64662,                0.36423,                 1.5095,                 1.6583,                 1.5999,               0.001612,               0.001612,               0.001612
                      7,                  1.701,                 1.5874,                 1.5765,                0.64842,                0.58289,                0.61902,                0.32876,                 1.6472,                 1.4254,                 1.7299,               0.001601,               0.001601,               0.001601
                      8,                 1.7025,                 1.5703,                 1.5693,                0.72408,                0.56581,                 0.6486,                0.35383,                 1.5823,                 1.4146,                 1.6374,                0.00159,                0.00159,                0.00159
                      9,                 1.6269,                 1.4565,                 1.5147,                0.67318,                0.42873,                0.43966,                0.23105,                 1.8211,                 2.4162,                 1.8826,               0.001579,               0.001579,               0.001579
                     10,                 1.6276,                 1.4333,                  1.518,                0.73108,                0.54881,                0.65855,                0.37201,                 1.5195,                 1.2369,                  1.638,               0.001568,               0.001568,               0.001568
                     11,                 1.6086,                 1.4001,                 1.5053,                0.69648,                0.59187,                0.65078,                 0.3759,                 1.5101,                 1.2563,                 1.5776,               0.001557,               0.001557,               0.001557
                     12,                 1.5902,                 1.3643,                 1.4837,                0.75085,                0.64507,                0.73927,                0.41718,                 1.5026,                  1.239,                  1.583,               0.001546,               0.001546,               0.001546
                     13,                 1.5628,                 1.2954,                 1.4625,                0.80857,                0.63988,                0.72685,                0.42902,                 1.4688,                 1.0902,                  1.579,               0.001535,               0.001535,               0.001535
                     14,                 1.5241,                 1.3119,                 1.4736,                0.78163,                 0.6631,                0.73203,                0.42547,                 1.5494,                 1.0968,                 1.6373,               0.001524,               0.001524,               0.001524
                     15,                 1.5208,                 1.2191,                 1.4436,                0.78882,                0.69284,                0.74684,                0.42374,                 1.4911,                 1.0354,                 1.5538,               0.001513,               0.001513,               0.001513
                     16,                 1.5071,                 1.2067,                 1.4274,                0.77919,                0.71437,                0.77041,                0.45332,                  1.419,                0.98495,                 1.5255,               0.001502,               0.001502,               0.001502
                     17,                 1.4903,                 1.1872,                 1.4361,                0.71578,                0.66607,                0.70208,                0.39944,                 1.4903,                 1.0882,                 1.5825,               0.001491,               0.001491,               0.001491
                     18,                  1.501,                 1.1826,                 1.4352,                0.80423,                0.68786,                0.77399,                0.46165,                 1.4033,                0.94023,                 1.4913,                0.00148,                0.00148,                0.00148
                     19,                 1.4788,                 1.1469,                 1.4114,                 0.7761,                0.61769,                 0.7187,                0.41741,                 1.5122,                  1.145,                  1.614,               0.001469,               0.001469,               0.001469
                     20,                 1.4551,                 1.1405,                 1.3999,                 0.8084,                 0.6782,                0.77169,                0.46371,                 1.4153,                 0.9229,                 1.5213,               0.001458,               0.001458,               0.001458
                     21,                 1.4759,                  1.113,                 1.4055,                0.77896,                0.69777,                0.76263,                0.44849,                 1.4447,                 1.0046,                 1.5631,               0.001447,               0.001447,               0.001447
                     22,                 1.4707,                 1.1294,                 1.4133,                0.75094,                0.66588,                0.72907,                0.42428,                 1.4863,                 1.0417,                 1.5541,               0.001436,               0.001436,               0.001436
                     23,                 1.4659,                 1.0933,                 1.4059,                 0.8044,                0.72893,                   0.79,                0.47187,                 1.3963,                0.93276,                 1.5072,               0.001425,               0.001425,               0.001425
                     24,                 1.4521,                 1.0496,                 1.3907,                0.86433,                0.70723,                0.80118,                0.47516,                 1.4294,                0.85457,                 1.6063,              0.0014139,              0.0014139,              0.0014139
                     25,                 1.4237,                 1.0576,                 1.3796,                0.82968,                0.71012,                0.78843,                0.47752,                 1.4018,                0.85682,                 1.5456,              0.0014029,              0.0014029,              0.0014029
                     26,                 1.4105,                 1.0205,                 1.3823,                0.76277,                0.70002,                0.74496,                0.45609,                 1.3683,                 1.0457,                 1.4566,              0.0013919,              0.0013919,              0.0013919
                     27,                 1.4084,                 1.0171,                 1.3545,                0.79335,                0.72262,                0.78658,                0.47961,                 1.3523,                0.90288,                 1.4529,              0.0013809,              0.0013809,              0.0013809
                     28,                 1.4095,                 1.0073,                 1.3648,                0.83536,                0.73223,                0.80458,                  0.478,                 1.3624,                0.84845,                 1.4909,              0.0013699,              0.0013699,              0.0013699
                     29,                  1.375,                0.98247,                 1.3453,                0.79067,                0.69167,                0.77105,                0.47421,                 1.3704,                0.92819,                 1.4855,              0.0013589,              0.0013589,              0.0013589
                     30,                 1.3632,                0.96454,                 1.3555,                0.82254,                0.72202,                0.79646,                 0.4739,                 1.3686,                 0.8717,                  1.497,              0.0013479,              0.0013479,              0.0013479
                     31,                 1.3515,                0.97348,                 1.3449,                0.77516,                0.71786,                0.75674,                0.45433,                 1.4516,                0.91516,                 1.5729,              0.0013369,              0.0013369,              0.0013369
                     32,                  1.362,                0.97818,                 1.3313,                 0.8528,                0.70952,                0.80123,                0.48443,                  1.392,                0.83206,                 1.5161,              0.0013259,              0.0013259,              0.0013259
                     33,                 1.3772,                0.94364,                 1.3442,                0.80405,                0.72176,                0.78503,                0.47081,                 1.3958,                0.89266,                 1.5103,              0.0013149,              0.0013149,              0.0013149
                     34,                 1.3441,                0.93769,                 1.3311,                0.85522,                0.70476,                 0.8068,                0.49748,                 1.3526,                0.80979,                 1.4757,              0.0013039,              0.0013039,              0.0013039
                     35,                 1.3405,                0.92117,                 1.3294,                0.85568,                0.67778,                0.78843,                0.47714,                 1.4417,                0.89997,                 1.5694,              0.0012929,              0.0012929,              0.0012929
                     36,                 1.3188,                0.94464,                 1.3175,                0.89177,                0.72202,                0.82621,                0.50265,                 1.3469,                0.79247,                 1.4633,              0.0012819,              0.0012819,              0.0012819
                     37,                 1.3209,                 0.9119,                 1.3255,                0.85502,                0.70837,                0.80504,                0.48174,                 1.4082,                0.88221,                 1.5619,              0.0012709,              0.0012709,              0.0012709
                     38,                 1.2936,                0.89096,                 1.3015,                0.82052,                0.73825,                0.79448,                0.49237,                  1.365,                0.85312,                 1.5064,              0.0012599,              0.0012599,              0.0012599
                     39,                 1.3034,                0.88906,                 1.3038,                0.85291,                0.73274,                0.81252,                0.49609,                 1.3753,                 0.8496,                 1.4874,              0.0012489,              0.0012489,              0.0012489
                     40,                 1.2954,                0.86826,                 1.2933,                0.85208,                0.74635,                0.82702,                0.50283,                 1.3858,                0.77316,                 1.5203,              0.0012379,              0.0012379,              0.0012379
                     41,                 1.2708,                0.83458,                 1.2862,                0.85569,                0.75946,                0.82126,                0.50277,                 1.3362,                0.76271,                 1.4634,              0.0012269,              0.0012269,              0.0012269
                     42,                 1.2759,                0.85317,                 1.2953,                0.81318,                0.71132,                 0.7887,                0.48591,                 1.2991,                0.84308,                 1.4077,              0.0012159,              0.0012159,              0.0012159
                     43,                  1.265,                0.84692,                 1.2908,                0.85828,                0.70417,                 0.8054,                0.50697,                 1.2976,                0.82483,                 1.4524,              0.0012049,              0.0012049,              0.0012049
                     44,                 1.2732,                0.83153,                 1.2858,                0.82118,                0.76924,                0.82548,                0.51045,                 1.3123,                0.76204,                 1.4504,              0.0011939,              0.0011939,              0.0011939
                     45,                 1.2509,                0.82444,                 1.2816,                0.84793,                 0.7392,                0.80494,                0.50653,                 1.2599,                0.78241,                 1.4008,              0.0011829,              0.0011829,              0.0011829
                     46,                 1.2599,                0.81372,                 1.2689,                0.86784,                0.74255,                0.82721,                 0.5108,                 1.2935,                0.75433,                 1.4265,              0.0011719,              0.0011719,              0.0011719
                     47,                 1.2248,                0.80622,                 1.2619,                0.85883,                0.75714,                0.81974,                0.51543,                 1.3228,                 0.7707,                 1.4391,              0.0011609,              0.0011609,              0.0011609
                     48,                 1.2367,                 0.8069,                 1.2667,                0.85572,                0.71071,                0.79472,                 0.4811,                 1.3295,                0.81966,                 1.4541,              0.0011499,              0.0011499,              0.0011499
                     49,                 1.2227,                0.79567,                 1.2554,                0.85212,                0.76203,                0.83201,                 0.5204,                 1.3018,                0.75295,                 1.4395,              0.0011389,              0.0011389,              0.0011389
                     50,                 1.2275,                0.79092,                 1.2473,                0.86229,                0.75302,                0.83506,                0.52228,                 1.2837,                0.72863,                 1.4224,              0.0011279,              0.0011279,              0.0011279
                     51,                 1.2152,                0.76492,                 1.2461,                0.84366,                0.75949,                0.83246,                0.50783,                 1.3417,                0.76798,                 1.4899,              0.0011169,              0.0011169,              0.0011169
                     52,                  1.218,                0.78074,                 1.2449,                0.86525,                0.71838,                0.82649,                0.51212,                 1.3396,                0.73865,                 1.4557,              0.0011059,              0.0011059,              0.0011059
                     53,                 1.2027,                0.76711,                 1.2385,                0.85611,                0.73409,                0.82192,                0.51004,                 1.3324,                0.71784,                 1.4839,              0.0010949,              0.0010949,              0.0010949
                     54,                 1.2128,                 0.7627,                 1.2383,                0.83278,                0.75926,                0.81977,                0.50859,                 1.3035,                  0.737,                 1.4274,              0.0010839,              0.0010839,              0.0010839
                     55,                  1.189,                0.74038,                  1.227,                0.86873,                0.75438,                0.82729,                0.52058,                 1.2782,                0.72691,                 1.4299,              0.0010729,              0.0010729,              0.0010729
